,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
20,,,,,,,,,,,,,,,,,,1.421501,,,,,,,,,,,13d26487-f7ae-4bc1-994b-e9ab2dfc52ae,52,,"[50.8, 80.0]",3845654,1,,0.012928278,0.009182802,0.0037454758,0.010397445,0.0093949335,0.0010025119,-0.0027429638,True,,,-2.5215914,,,,,"[12.7, 52.8]",,High Pass,,46.812927,,,,,,0.9956691265,Raúl Lizoáin Cruz,,,,,Throw-in,1,From Throw In,Álex Petxarroman Eizaguirre,132413.0,Right Back,6,FC Andorra,1774,['80186680-2638-4a81-ba81-adcd8a2638b8'],9,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:09.087,Pass,
21,,,,,,,,,,,,,,,,,,6.104799,,,,,,,,,,,bb176ef6-776d-409e-9adf-8569042324d4,55,,"[13.7, 40.1]",3845654,1,,0.007466578,0.012928278,-0.0054617003,0.014025587,0.010397445,0.0036281412,0.0090898415,,,,-0.3388638,,Left Foot,,,"[99.1, 10.0]",,High Pass,,90.54927,Incomplete,,54.0,Defensive third - Center - Forwards - Long - High Pass,0.9999864808,0.2670733333,,,,,,,1,From Throw In,Raúl Lizoáin Cruz,7905.0,Goalkeeper,6,FC Andorra,1774,['6ab7754c-b661-4c1d-8dca-96626d44725c'],12,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:12.216,Pass,
22,,,,,,,,,,,,,,,,,,0.64509,,,,,,,,,,,536741c7-4e16-4419-bb66-cc42845c970c,60,,"[41.8, 78.7]",3845654,1,,0.01602914,0.011118127,0.004911013,0.010234126,0.010985793,-0.0007516667,-0.0056626797,,,,-0.124354996,,Right Foot,,,"[45.8, 78.2]",,Ground Pass,,4.031129,Incomplete,,12.0,Midfield third - Right - Forwards - Short - Ground Pass,0.9655597566,0.7272643447,,,,,,,1,From Throw In,Guillermo Rosas Alonso,41515.0,Right Back,6,FC Andorra,1774,['a53bb15f-8ed6-4832-b325-655969b96f41'],23,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:23.302,Pass,
23,,,,,,,,,,,,,,,,,,0.789526,,,,,,,,,,,0af285eb-020e-4388-b21f-b86e997a5fb3,64,,"[73.0, 3.6]",3845654,1,,0.009550807,0.010261228,-0.0007104212,0.016292486,0.017954495,-0.0016620085,-0.0009515873,,,,2.9335365,,Right Foot,,,"[64.0, 5.5]",,Ground Pass,,9.198369,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.990313678,0.9831831455,Martí Vilà García,,,,,,1,From Throw In,Sergio Molina Beloqui,173384.0,Left Center Midfield,6,FC Andorra,1774,['d90d71f7-84d3-4556-8beb-28c9a3f13526'],26,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:26.354,Pass,
24,,,,,,,,,,,,,,,,,,1.228717,,,,,,,,,,,409ac7f0-c118-46f8-bf7d-c9d206340936,67,,"[64.0, 5.5]",3845654,1,,0.010073901,0.009550807,0.0005230941,0.015039012,0.016292486,-0.0012534745,-0.0017765686,,,,-3.0804446,,Left Foot,,,"[54.2, 4.9]",,Ground Pass,,9.81835,,,27.0,Midfield third - Left - To left - Short - Ground Pass,0.9856647343,0.9580410123,Marc Aguado Pallares,,,,,,1,From Throw In,Martí Vilà García,26978.0,Left Back,6,FC Andorra,1774,['8eb6fe65-379c-4da4-bf73-8958ed51e6de'],27,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:27.898,Pass,
25,,,,,,,,,,,,,,,,,,1.541048,,,,,,,,,,,3a75b741-c006-4ed4-850e-1bb33ba290a8,70,,"[53.7, 5.1]",3845654,1,,0.011026964,0.010033468,0.0009934958,0.0141794635,0.014772604,-0.0005931407,-0.0015866365,,,,2.4544685,,Left Foot,,,"[42.0, 14.7]",,Ground Pass,,15.1343975,,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9797117704,0.9832690954,Adrià Vilanova Chaure,,,,,,1,From Throw In,Marc Aguado Pallares,173379.0,Center Defensive Midfield,6,FC Andorra,1774,['5a7ae899-d27b-44a8-8b15-94ca40178a35'],29,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:29.670,Pass,
26,,,,,,,,,,,,,,,,,,1.111942,,,,,,,,,,,823ed431-206e-4c7d-a188-0e38306efc86,73,,"[42.0, 14.7]",3845654,1,,0.010329005,0.011026964,-0.0006979583,0.015325881,0.0141794635,0.0011464171,0.0018443754,,,,1.7467359,,Left Foot,,,"[39.6, 28.2]",,Ground Pass,,13.711674,,,4.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9718974545,0.9744125009,Diego Alende López,,,,,,1,From Throw In,Adrià Vilanova Chaure,173381.0,Left Center Back,6,FC Andorra,1774,['07446e5b-6811-405e-bd32-9fd7ec4cb759'],31,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:31.541,Pass,
27,,,,,,,,,,,,,,,,,,1.287602,,,,,,,,,,,fdba0278-fb3e-4531-82e6-fd2f349ad2cb,76,,"[39.4, 32.4]",3845654,1,,0.010654059,0.011073387,-0.000419328,0.013239737,0.014525058,-0.001285321,-0.000865993,,,,-1.9527755,,Right Foot,,,"[34.7, 20.7]",,Ground Pass,,12.608727,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9797224409,0.9799986482,Adrià Vilanova Chaure,,,,,,1,From Throw In,Diego Alende López,34728.0,Right Center Back,6,FC Andorra,1774,['ed62996e-936c-4a1a-bf90-4778a182002f'],34,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:34.950,Pass,
28,,,,,,,,,,,,,,,,,,1.261154,,,,,,,,,,,483c7238-ca68-4aa3-a0d5-a69da91b30da,79,,"[36.4, 22.0]",3845654,1,,0.011334729,0.010615512,0.0007192176,0.013893054,0.013601988,0.0002910663,-0.0004281513,,,,1.8467075,,Left Foot,,,"[31.7, 38.6]",,Ground Pass,,17.252537,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.6638114137,0.994596839,Diego Alende López,,,,,,1,From Throw In,Adrià Vilanova Chaure,173381.0,Left Center Back,6,FC Andorra,1774,['dd63f8f4-357a-4c75-9b5c-848002519d31'],38,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:38.888,Pass,
29,,,,,,,,,,,,,,,,,,1.001139,,,,,,,,,,,a7351bbb-bb96-4657-a135-ebe0c7bec752,82,,"[33.4, 40.1]",3845654,1,,0.011243729,0.011616924,-0.0003731949,0.013591154,0.014052438,-0.0004612841,-8.80892e-05,,,,1.7138796,,Right Foot,,,"[31.7, 51.9]",,Ground Pass,,11.921828,,,33.0,Defensive third - Center - To right - Short - Ground Pass,0.6774852933,0.986851275,Álex Petxarroman Eizaguirre,,,,,,1,From Throw In,Diego Alende López,34728.0,Right Center Back,6,FC Andorra,1774,['e931440f-36a7-41ac-99f1-285e2c98a40f'],41,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:01:41.610,Pass,
